QAQC,VisitNo,Boat,Crew,Location,Visit Date,Station,Weather,WindWaves,WindDirection,Tide,Secchi,SurfTemp,DO,SC,pH,Turbidity,Phycocyanin,Chlorophyll,FDOM,Microcystis,SondeNo,Wetland,DataQuality,QuestionableData,SiteComments
false,1437,Kvichak,RKH;SL;MS,Grizzly Bay,04/11/2017,Z_OLD_602FRP,4=rain,0=Calm; glassy, , 2=ebb,50,14.7,12.6, 181, 7.7, 19.1, , , , 1=absent, , , , false, 
false,1438,Kvichak,RKH;MS;SL,z_old_Suisun,04/11/2017,Z_OLD_RYER1,3=66-100% clouds,0=Calm; glassy, , 4=flood,60,14.6,11.9, 233, 7.6, 24.7, , , , 1=absent, , , , false, Matt caught a striped bass on hook and line
false,1439,Kvichak,RKH;SL;MS,z_old_Suisun,04/11/2017,Z_OLD_RYER2,3=66-100% clouds,0=Calm; glassy, , 4=flood,58,14.5,12.9, 158, 7.7, 21.5, , , , 1=absent, , , , false, 
false,1440,Other,RKH;SL;MS,z_old_Suisun,04/11/2017,Z_OLD_RYER3,3=66-100% clouds,0=Calm; glassy, , 4=flood,56,14.5,13.1, 157, 7.7, 22.2, , , , 1=absent, , , , false, 
false,1441,Kvichak,RKH;MS;KG,Miner Slough,04/12/2017,Z_OLD_PROBR,4=rain,1=wind 1-3 mph; scaley ripples, S, 2=ebb,68,13.7,11.1, 108, 7.5, 21.9, , , , 1=absent, , , , false, Sampled while 20mm sampled station 724
false,1442,Other,RKH;MS;KG,Horseshoe Bend,04/12/2017,Z_OLD_705 FRP,3=66-100% clouds,0=Calm; glassy, , 1=high slack,64,13.4,12.8, 126, 6.8, 17.9, , , , 1=absent, , , , false, 
false,1443,Kvichak,RKH;MS,Horseshoe Bend,04/12/2017,Z_OLD_706 FRP,3=66-100% clouds,0=Calm; glassy, , 1=high slack,78,13.8,9.3, 128, 6.6, 14, , , , 1=absent, , , , false, 
false,1444,Other,RKH;MS;KG,Lindsey Slough,04/12/2017,Z_OLD_LINBR,5=fog,0=Calm; glassy, , 2=ebb,69,15.5,8.1, 561, 7.2, 10.6, , , , 1=absent, , , , false, IEP got to station 720 at 8:20. Mist/rain.
false,1445,Kvichak,RKH;KG;MS,Miner Slough,04/12/2017,Z_OLD_726 FRP,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,54,13.5,12.2, 107, 7.5, 26.7, , , , 1=absent, , , , false, Sampled while IEP sampled 726
false,1446,Other,RKH;DC;JM;SL,Browns Island,04/13/2017,Z_OLD_BROWNS CHANNEL,4=rain,0=Calm; glassy, , 2=ebb,64,14.5,7.7, 440, 7.3, 14.9, , , , 1=absent, , , , false, Also collected amphipods for Miranda; Corophiids since we didnt see any gammarus.  In big pond at the end of Browns channel. EM0417B0120 and EM0417B0119
false,1447,Other,RKH;DC;JM;SL,Browns Island,04/13/2017,Z_OLD_BROWNS CHANNEL,4=rain,1=wind 1-3 mph; scaley ripples, W, 2=ebb,66,14.8,8.1, 565, 7.3, 15.9, , , , 1=absent, , , , false, Also chla em0417b0121
false,1448,Other,JM;RKH;DC;SL,Browns Island,04/13/2017,Z_OLD_BROWNS CHANNEL,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,52,14.8,8.8, 470, 7.4, 12.5, , , , 1=absent, , , , false, ALSO chla EM0417B0122
false,1449,Other,RKH;JM;DC;SL,Browns Island,04/13/2017,Z_OLD_BROWNS CHANNEL,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,64,15.7,9.7, 530, 7.4, , , , , 1=absent, , , , false, Forgot turbidity
false,1450,Airboat,MS;KG;RKH,Prospect Island,04/25/2017,Z_OLD_SOPRO4,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,,14.9,7.7, 130, 7.3, 3.4, , , , 1=absent, , , , false, Just south of cross-levee Forgot secchi Too much vegetation for PVC cores
false,1451,Airboat,RKH;KG;MS,Prospect Island,04/25/2017,Z_OLD_SOPRO5,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, SW, ,,15.1,4.5, 121, 7.3, 6.2, , , , 1=absent, , , , false, West side; just south of "boat ramp"
false,1452,Airboat,RKH;MS;KG,Prospect Island,04/25/2017,Z_OLD_SOPRO6,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, SW, ,,15,4.6, 136, 7.2, 7.4, , , , 1=absent, , , , false, Forgot secchi Very thick entrained thatch of tules Southern tip of the island
false,1453,Airboat,RKH;MS;KG,Prospect Island,04/25/2017,Z_OLD_SOPRO7,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, SW, ,,16.5,6.7, 114, 7.3, 1.1, , , , 1=absent, , , , false, baby grebes!
true,1878,Chinook,DC,Browns Island,03/22/2018,Z_OLD_BROWNS CHANNEL,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, S, 2=ebb,89,13.4,11.8, 773, 7.4, 9.9, , 3.8, , 1=absent, , , , false, 
false,1879,Chinook,DC,Browns Island,03/22/2018,Z_OLD_BROWNSPOND,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 3=low slack,93,13.6,9.8, 1060, 7.5, 6, , 5.6, , 1=absent, , , , false, In far pond
false,1880,Chinook,DC,Browns Island,03/22/2018,Z_OLD_BROWNS1,,, , ,,,, , , , , , , , , , , false, 
true,1881,Other,RKH;MS,Nurse-Denverton,04/10/2018,Z_OLD_BLACKLOCK,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 4=flood,,18.3,9.1, 3384, 7.3, 52, , 12.2, , 1=absent, , , , false, Paired with 20mm site 609 Forgot Secchi
false,1882,Other,RKH;MS,Nurse-Denverton,04/10/2018,Z_OLD_609 FRP,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 4=flood,,17.7,9.5, 2835, 7.4, 37.2, , 10.4, , 1=absent, , , , false, No depth on mudsucker; forgot secchi; paired with 20mm station 609
false,1883,Mudsucker,RKH;MS;KG,Nurse-Denverton,04/10/2018,Z_OLD_609 FRP,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 4=flood,,17,9.9, 2156, 7.6, 30.2, , 7.4, , 1=absent, , , , false, 
false,1884,Other,RKH;MS,z_old_San Joaquin,04/10/2018,Z_OLD_STACYS ISLAND,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 4=flood,,15.3,10.4, 297, 8, 9.2, , 3.2, , 1=absent, , , , false, Just outside channel through Stacys Island
true,1885,Other,RKH;MS;KG,z_old_San Joaquin,04/10/2018,Z_OLD_STACYS ISLAND,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 1=high slack,,15.4,10.2, 301, 7.8, 8.1, , 2.6, , 1=absent, , , , false, Trawled through the island
true,1886,Other,KG;MS,Winter Island,04/09/2018,Z_OLD_WINTER 1,1=0-33% clouds,0=Calm; glassy, , 4=flood,,15.2,8.4, 808, 7.1, 9.7, , 6, , 1=absent, , , , false, mysid flow meter not turning well- stopped trawls early
true,1887,Other,MS;KG,Winter Island,04/09/2018,Z_OLD_WINTER 1,1=0-33% clouds,0=Calm; glassy, , 4=flood,,15.4,5.4, 646, 7.2, 12, , 4.4, , 1=absent, , , , false, 
true,1888,Other,KG;MS,Winter Island,04/09/2018,Z_OLD_WINTER 1,1=0-33% clouds,0=Calm; glassy, , 4=flood,,15.4,10.1, 558, 7.3, 11.7, , 5.2, , 1=absent, , , , false, 
true,1889,Other,MS;KG,Winter Island,04/09/2018,Z_OLD_WINTER 1,1=0-33% clouds,0=Calm; glassy, , 4=flood,,15.6,10.8, 420, 7.5, 13.6, , 4.4, , 1=absent, , , , false, 
true,1890,Other,MS;KG,Winter Island,04/09/2018,Z_OLD_WINTER 1,1=0-33% clouds,0=Calm; glassy, , 4=flood,,15.2,10.6, 310, 7.7, 9.1, , 3.6, , 1=absent, , , , false, 
true,1891,Other,MS;KG,z_old_Confluence,04/09/2018,Z_OLD_801 FRP,1=0-33% clouds,0=Calm; glassy, , 1=high slack,,15.8,11.2, 304, 7.6, 6.1, , 2.7, , 1=absent, , , , false, 
true,1892,Other,MS;KG,z_old_Confluence,04/09/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,,16.2,10.3, 305, 7.6, 5.8, , 3.9, , 1=absent, , , , false, 
true,1893,Other,KG;MS,Winter Island,04/09/2018,Z_OLD_WINTER 1,1=0-33% clouds,0=Calm; glassy, , 2=ebb,,16.7,10.3, 380, 7.7, 10, , 3.7, , 1=absent, , , , false, samples taken at breach during the ebb
true,1894,Other,MS;KG,z_old_Confluence,04/09/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,,17.1,11.2, 308, 7.8, 5.6, , 2.2, , 1=absent, , , , false, 
true,1895,Other,MS;KG,z_old_Confluence,04/09/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,,17.1,11.2, 308, 7.8, 5.6, , 2.2, , 1=absent, , , , false, 
true,1896,Other,MS;KG,z_old_Confluence,04/09/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,,17.1,11.2, 308, 7.8, 5.6, , 2.2, , 1=absent, , , , false, 
false,1897,Other,MS;KG,z_old_Confluence,04/09/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,,17.1,11.2, 308, 7.8, 5.6, , 2.2, , 1=absent, , , , false, 
false,1898,Airboat,MS,Prospect Island,03/19/2018,Z_OLD_SOPRO4,1=0-33% clouds,0=Calm; glassy, , 3=low slack,,10.4,7.5, 88, 8.2, 6.3, , 3.6, , 1=absent, , , , false, all health codes are "1" unless otherwise stated
true,1899,Kvichak,RKH,Decker Island,04/13/2018,Z_OLD_DECKER BREACH,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,,11.7,8.1, 272, 8.3, 35.5, , 4.6, , 1=absent, , , , false, Sampled water flowing off the breach. Zooplankton housing cracked.
true,1900,Kvichak,RKH,Decker Island,04/13/2018,Z_OLD_DECKER BREACH,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,,11.7,8.1, 272, 8.3, 35.5, , 4.6, , 1=absent, , , , false, Sampled water flowing off the breach. Very shallow water; Mysid net 10% out of water.
true,1901,Other,RKH,Horseshoe Bend,04/13/2018,Z_OLD_705 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,63,14.2,10.5, 259, 7.8, 17.1, , 3.9, , 1=absent, , , , false, 
true,1902,Kvichak,RKH,Decker Island,04/13/2018,Z_OLD_DECKER BREACH,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 3=low slack,,14.3,11.5, 259, 7.9, 17.2, , 3.5, , 1=absent, , , , false, Right outside breach in egeria patch
true,1903,Kvichak,RKH,Horseshoe Bend,04/13/2018,Z_OLD_705 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 4=flood,72,15.4,11.5, 267, 8.4, 23.2, , 4.5, , 1=absent, , , , false, Mysid net got tagled in prop
true,1904,Kvichak,RKH,Horseshoe Bend,04/13/2018,Z_OLD_705 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 4=flood,67,14.8,10.4, 268, 8, 13.6, , 4.1, , 1=absent, , , , false, 
true,1905,Mudsucker,,z_old_Dow Wetlands,04/18/2018,Z_OLD_DOW 4,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, S, 2=ebb,74,14.7,7.1, 362, 7.8, 10.8, , 4.6, , 1=absent, , , , false, 
true,1906,Mudsucker,,z_old_Dow Wetlands,04/18/2018,Z_OLD_DOW 4,3=66-100% clouds,0=Calm; glassy, , 2=ebb,61,14.2,9.2, 207, 7.8, 10.9, , 4.5, , 1=absent, , , , false, Small ysi: temp 14.0 DO 5.7 Sc 207 pH 6.0   YSI 6600: 401 but unreliable  MAC2 -sample dumped because net filled with FILALG NT2- lost during processing Not enough time to redo before tide ebbed
true,1907,Mudsucker,,z_old_Dow Wetlands,04/18/2018,Z_OLD_DOW BREACH,3=66-100% clouds,0=Calm; glassy, , 2=ebb,61,14.2,9.2, 207, 7.8, 10.9, , 4.5, , 1=absent, , , , false, 
true,1908,Mudsucker,,Chipps Island,04/18/2018,Z_OLD_CHIPPS NORTH,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,63,14.2,7.9, 199.4, 7.8, 12.3, , 4.8, , 1=absent, , , , false, Small ysi: temp 14.2 DO 8.0 Sp 199.4 pH 6.77  YSI 6600: 403 but unreliable
true,1909,Mudsucker,,Chipps Island,04/18/2018,Z_OLD_CHIPPS NORTH,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,60,15.1,10.9, 156.3, 7.9, 19, , 3.5, , 1=absent, , , , false, ysi 6600: Sc 325 but less reliable  small ysi: temp 14.9 DO 9.4 Sc 156.3 pH 7.2
true,1910,Mudsucker,,z_old_Confluence,04/18/2018,Z_OLD_DOW OUTSIDE,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,60,15.1,10.9, 325, 7.9, 19, , 3.5, , 1=absent, , , , false, 
true,1911,Mudsucker,,Winter Island,04/18/2018,Z_OLD_WINBR,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,40,15.2,10.2, 155.7, 7.9, 24.4, , 3.8, , 1=absent, , , , false, YSI 6600 Sc 322  Small ysi: temp 15.2 DO 10.2 Sc 155.7 pH 7.16
false,1912,Airboat,MS,Prospect Island,03/19/2018,Z_OLD_SOPRO1,1=0-33% clouds,0=Calm; glassy, , 3=low slack,,10.4,7.5, 88, 8.2, 6.3, , 3.6, , 1=absent, , , , false, Later samples given an "N" followed by a number. Note: samples given name backwards; i.e. in the reverse order of how they were taken chronologically.
true,1913,Kvichak,MS,Grizzly Bay,04/12/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,10,13.2,11.3, 125, 8, 147.2, , 8.6, , 1=absent, , , , false, YSI 6600 read 3317 for Sc. Not reliable so I used small YSI.  Other small YSI measurements: pH 7.25 DO 11.3 Temp 13.3
true,1914,Kvichak,MS,Grizzly Bay,04/12/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,10,13.2,11.3, 125, 8, 147.2, , 8.6, , 1=absent, , , , false, 
true,1915,Kvichak,MS,Grizzly Bay,04/12/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,10,13.2,11.3, 125, 8, 147.2, , 8.6, , 1=absent, , , , false, 
true,1916,Kvichak,MS,Grizzly Bay,04/12/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,9,14,10.9, 273.3, 8, 179, , 9.6, , 1=absent, , , , false, Small YSI: SC 273.3 pH 7.4 DO 11.7 Temp 14.0  YSI 6600: Sc unreliable- 600
true,1917,Kvichak,MS,Grizzly Bay,04/12/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,9,14,10.9, 273.3, 8, 179, , 9.6, , 1=absent, , , , false, 
true,1918,Kvichak,MS,Grizzly Bay,04/12/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,9,14,10.9, 273.3, 8, 179, , 9.6, , 1=absent, , , , false, 
true,1919,Kvichak,MS,Grizzly Bay,04/12/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, S, 1=high slack,10,14.1,12.2, 140.4, 8.2, 154.2, , 8.8, , 1=absent, , , , false, YSI 6600: Sc 349  Small ysi: temp 14 DO 11.5 Sc 140.4 pH 7.69
true,1920,Kvichak,MS,Wings Landing,04/12/2018,Z_OLD_WINGS 1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,14,16.5,7.5, 1972, 7.7, 56.7, , 13, , 1=absent, , , , false, Small ysi: temp 16.6 DO 7.0 Sc 1972 pH 7.61  YSI 6600 Sc: 4183
true,1921,Mudsucker,MS,Miner Slough,04/11/2018,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, S, 2=ebb,60,12.9,10.6, 224, 6.9, 24, , 0.5, , 1=absent, , , , false, Small ysi had a more reliable sc; 224 small ysi: temp:14.7 chl: 2.9 ph: 7.82 do: 5.42 turbidity: 8.7 sc: 224
true,1922,Chinook,MS;SS;DC,Miner Slough,04/23/2018,Z_OLD_MINER TULES,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 4=flood,119,16.4,11.2, 155, 5.4, 6.9, , , , 1=absent, , , , false, Crew: Matt Siepert; Richard Douglas; Stacy Sherman; Dave Contreras. Sampling with ARIS
true,1923,Chinook,MS;DC;SS,Liberty Island,04/23/2018,Z_OLD_SWLIBERTY,1=0-33% clouds,2= wind 4-7 mph; small wavelets, N, 4=flood,,16.6,9.7, 180, 5.6, , , , , 1=absent, , , , false, Sampling with ARIS
true,1924,Chinook,MS;SS;DC,z_old_Cache Slough,04/23/2018,Z_OLD_CACHE,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,140,16.9,10.1, 186, 6.5, 3.8, , , , 1=absent, , , , false, Sampling with ARIS. Gill net set across cur on West Side of Liberty Island
true,3447,Mudsucker,DC;SH;MMS,Browns Island,11/13/2019,Z_OLD_BROWNS CHANNEL,1=0-33% clouds,0=Calm; glassy, NA, 4=flood,72,14.5,8.1, 3306, 7.7, 7.2, 0, 0.3, , 1=absent, , , , false, PC: 0.17  Ripped 5 ft hole in 6" mesh near one end of lampara
true,3448,Mudsucker,DC;SH;MMS,Browns Island,11/13/2019,Z_OLD_BROW_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NA, 4=flood,,,, , , , , , , 1=absent, , , , false, Location: Browns Island  No station listed
true,3449,Mudsucker,DC;SH;MMS,Browns Island,11/13/2019,Z_OLD_520 FRP,1=0-33% clouds,0=Calm; glassy, NA, 4=flood,72,14.9,9.1, 4138, 7.9, 9.6, 0, 0.4, , 1=absent, , , , false, PC: 0.23
true,3450,Mudsucker,DC;SH;MMS,Chipps Island,11/13/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,0=Calm; glassy, NA, 4=flood,69,15.4,9.2, 4778, 7.8, 9.7, 0, 0.4, , 2=low, , , , false, Location: Chipps Island  No station listed  PC=0.2
true,3451,Mudsucker,DC;SH;MMS,Chipps Island,11/13/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,0=Calm; glassy, NA, 4=flood,71,14.8,9, 8065, 7.9, 12.8, 0, 0.3, , 1=absent, , , , false, Location: Chipps Island  No station listed  PC: 0.18
true,3452,Mudsucker,DC;SH;MMS,Chipps Island,11/13/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,0=Calm; glassy, NA, 4=flood,85,15,9, 8840, 7.9, 6, 0, 0.3, , 1=absent, , , , false, Location: Chipps Island  No station listed  PC: 0.14
true,3453,Mudsucker,DC;DE;GU;SH,Nurse-Denverton,11/14/2019,Z_OLD_NURSE1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,37,14.4,7.2, 8214, 7.8, 21.3, 0, 1.3, 4, 1=absent, , , , false, Guest: Michelle Winn  PC: 0.32  FDOM: 3.7
true,3454,Mudsucker,DC;DE;GU;SH,Nurse-Denverton,11/14/2019,Z_OLD_BLACKLOCK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,43,13.8,7.2, 8193, 7.7, 17.2, 0, 0.1, , 1=absent, , , , false, Guest: Michelle Winn  Tell Dan tule is here  PC=0.121
true,3455,Mudsucker,DC;DE;GU;SH,Nurse-Denverton,11/14/2019,Z_OLD_609 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,32,14.4,7.1, , 7.6, 20.6, 1, 1.1, , 1=absent, , , , false, Guest: Michelle Winn  PC=0.672
true,3456,Mudsucker,DC;DE;GU;SH,Nurse-Denverton,11/14/2019,Z_OLD_609 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,,,, , , , , , , 1=absent, , , , false, Guest: Michelle Winn
true,3457,Mudsucker,DC;DE;GU;SH,Nurse-Denverton,11/14/2019,Z_OLD_BLACKLOCK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,30,14.4,7.8, 8297, 7.5, 26.1, 0, 0.9, , 1=absent, , , , false, Guest: Michelle Winn  Reset after delay (motor caught in veg)  Tell Dan-idea-take photos to go with each gear maintenance to track damage
true,3458,Mudsucker,DC;DE;GU;SH,Nurse-Denverton,11/14/2019,Z_OLD_BLACKLOCK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,,,, , , , , , , 1=absent, , , , false, Guest: Michelle Winn
true,3459,Mudsucker,DC;DE;GU;SH,Ryer Island,11/14/2019,Z_OLD_RYER_UNK,1=0-33% clouds,, SW, 4=flood,47,14.1,8.2, 13093, 11.7, 15.3, 0, 0.4, , 1=absent, , , , false, Location: Ryer Island; no station listed  PC=0.18  Guest: Michelle Winn
true,3460,Mudsucker,JC;DC;KP;MMS,Miner Slough,11/25/2019,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,200,11.6,5.8, 161, 7.8, 1.7, 0, 0.2, , 1=absent, , , , false, PC=0.2; no FDOM "broken"
true,3461,Mudsucker,JC;DC;KP;MMS,Miner Slough,11/25/2019,Z_OLD_MINE_UNK,1=0-33% clouds,0=Calm; glassy, W, 2=ebb,200,12.7,9.2, 166, 7.6, 2.6, 0, 0.2, , 1=absent, , , , false, Location: Miner Slough; station not listed. FDOM broken; PC=0.2
true,3462,Mudsucker,JC;DC;KP;MMS,Miner Slough,11/25/2019,Z_OLD_MINE_UNK,1=0-33% clouds,0=Calm; glassy, W, 2=ebb,,,, , , , , , , 1=absent, , , , false, Location: Miner Slough; no station listed; No Environmentals      
true,3463,Mudsucker,JC;DC;KP;MMS,z_old_Cache Slough,11/25/2019,Z_OLD_CACHE,1=0-33% clouds,2= wind 4-7 mph; small wavelets, N, 2=ebb,180,12.8,10, 222, 7.9, 2.9, 0, 0.2, , 1=absent, , , , false, Location: Cache Slough; station not listed; NO FDOM; PC=0.2
true,3464,Other,JC;DC;KP;MMS,Liberty Island,11/25/2019,Z_OLD_LIBE_UNK,1=0-33% clouds,2= wind 4-7 mph; small wavelets, N, 2=ebb,128,13,9.3, 180, 7.7, 4.2, 0, 0.2, , 1=absent, , , , false, Location: Cache Slough; no station listed; NO FDOM; PC=0.2  
true,3465,Mudsucker,JC;DC;KP;MMS,Yolo Bypass,11/25/2019,Z_OLD_STAIRSTEPS1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 3=low slack,120,12.1,9.7, 271, 7.8, 4.4, 0, 0.4, , 1=absent, , , , false, Location: Yolo Bypass; no station listed; NO FDOM; PC=0.2    
true,3466,Mudsucker,JC;DC;KP;MMS,Yolo Bypass,11/25/2019,Z_OLD_STAIRSTEPS2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 3=low slack,,,, , , , , , , , , , , false, Location: Yolo Bypass; no station listed;  NO ENVIRONMENTALS 
true,3467,Mudsucker,JC;DC;KP;MMS,Flyway Farms,11/25/2019,Z_OLD_FLYWAY NORTH BREACH,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 3=low slack,28,12.4,9.7, 210, 8.1, 209.3, 1, 0.9, , 1=absent, , , , false, NO FDOM; PC=0.69
true,3501,Mudsucker,DC;NE;KP;MMS,Miner Slough,08/07/2019,Z_OLD_MINE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,133,21.9,8.1, 249, 7.6, 4, , 0.2, , 1=absent, , , , false, Location: Miner Slough; unknown station; Actual Chl: 0.20
true,3547,Chinook,DC;DE;SH;MMS,Flyway Farms,12/11/2019,Z_OLD_YOLO_UNK,3=66-100% clouds,0=Calm; glassy, NA, 4=flood,52,12.1,7.8, 493, 8.6, 14.3, 0, 1.5, , 1=absent, , , , false, Location: Flyway Farms; no station listed; No FDOM; PC=0.4
true,3503,Mudsucker,DC;NE;SH,Miner Slough,11/26/2019,Z_OLD_MINSLO2,1=0-33% clouds,0=Calm; glassy, NA, 2=ebb,190,12.1,9.5, 158, 7.6, 3.1, 0, 0.2, , 1=absent, , , , false, No FDOM; PC=0.2
true,3504,Mudsucker,DC;NE;SH,Flyway Farms,11/26/2019,Z_OLD_FLYWAYCHANNEL1,3=66-100% clouds,0=Calm; glassy, NA, 2=ebb,69,7.2,10.5, 271, 8.3, 9.8, 0, 0.7, , 1=absent, , , , false, No FDOM; PC=0.3
true,3561,Chinook,MA;DC;GU;JJ,Browns Island,03/28/2019,Z_OLD_BROWNS CHANNEL,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, S, 2=ebb,77,13.8,9.1, 262, 7.7, 16.8, 0.35, 1.9, 14.6, 1=absent, 1, , , false, Location: Brown's Channel  must add JJ to crew list  Crew: DC; MA; JJ; Guest: Stewart Desmeules  Sonde #: 1  Veg Data: No Veg  Open Water:   Trawl Comments: No comments    Sample ID: PHY3-BI-28MAR2019  GPS: 38.04259; 121.86882  # Jars: 1
true,3563,Chinook,MA;DC;GU;JJ,Browns Island,03/28/2019,Z_OLD_BROWNSPOND,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, S, 2=ebb,78,13.5,7.4, 672, 7.5, 15.2, 0.51, 4.3, 28.7, 1=absent, 1, , , false, Location: Brown's Pond - mouth of pond  Crew: DC; MA; Jessica Jimenza; Guest: Stewart Desmeules  Sonde #:1  Veg Data: Stuckenia 90%; Coontain 5%    SampleID:SAV2-BI-28MAR2019  # Jars:1    SampleID:SR2-BI-28MAR2019  # Jars:1    SampleID:PG2-BI-28MAR2019  # Jars:1    SampleID: PHY2-BI-28MAR2019  # Jars: 1  GPS: 38.04232; 121.85528
true,3564,Chinook,MA;DC;GU;JJ,Browns Island,03/28/2019,Z_OLD_BROWNS CHANNEL,4=rain,1=wind 1-3 mph; scaley ripples, S, 2=ebb,98,14,9.3, 220, 7.8, 14, 0.33, 1.6, 12.6, 1=absent, 1, , , false, Location: Brown's Channel Opening  Crew: DC; MA; Jessica Jimenza; Guest: Stewart Desmeules  Sonde #:1  Veg Data: No Veg    Sample ID: PHY4-BI-28MAR2019  GPS: 38.04498; 121.87180
true,3565,Chinook,MA;DC;GU;JJ,Browns Island,03/28/2019,Z_OLD_520 FRP,3=66-100% clouds,2= wind 4-7 mph; small wavelets, S, 2=ebb,90,14.5,9.8, 233, 7.8, 17.9, 0.34, 2, 12.9, 1=absent, 1, , , false, Location: Brown Exterior  Crew: DC; MA; Jessica Jimenza; Guest: Stewart Desmeules  Sonde #:1  Veg Data: No Veg- open water 100%    Sample ID: PHY5-BI-28MAR2019  GPS: 38.04520; 121.87360    Sample ID: EAV3-BI-28MAR2019  Jar Type: 500 ml  # of Jars: 1    Sample ID: EAV4-BI-28MAR2019  Jar Type: 500 ml  # of Jars: 1
true,3566,Chinook,MA;DC;GU;JJ,Browns Island,03/28/2019,Z_OLD_520 FRP,2=33-66% clouds,3= wind 8-12 mph; large wavelets, S, 2=ebb,87,13.9,9.7, 205, 7.8, 18.3, 0.35, 2, 11.8, 1=absent, 1, , , false, Location: Brown Exterior  Crew: DC; MA; Jessica Jimenza; Guest: Stewart Desmeules  Sonde #:1  Veg Data: No Veg    SampleID: PHY6-BI-28MAR2019  GPS: 38.04723; 121.87532
